datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,monitored_facility,contingency_facility,shadow_price
7/1/2025 3:00:00 AM,6/30/2025 11:00:00 PM,7/1/2025 4:00:00 AM,7/1/2025 12:00:00 AM,02FAYET 138 KV  02F-EFY,ACTUAL,-3.27
7/1/2025 3:00:00 AM,6/30/2025 11:00:00 PM,7/1/2025 4:00:00 AM,7/1/2025 12:00:00 AM,12 DRESDEN  45TR81 CT       H  345 KV,L345.Lockport-Kendall.10805,-7.32
7/1/2025 3:00:00 AM,6/30/2025 11:00:00 PM,7/1/2025 4:00:00 AM,7/1/2025 12:00:00 AM,94 HAURD-11323    11323     A  138 KV,L345.Nelson-ElectricJct.15502,-34.94
7/1/2025 3:00:00 AM,6/30/2025 11:00:00 PM,7/1/2025 4:00:00 AM,7/1/2025 12:00:00 AM,Burr Oak - Plymouth 138kV 13819 l/o Burr Oak - Hiple 345kV 34529,L345.BurrOak-Hiple,-59.67
7/1/2025 3:00:00 AM,6/30/2025 11:00:00 PM,7/1/2025 4:00:00 AM,7/1/2025 12:00:00 AM,HANOVER 69 KV   HAN-PAR,ACTUAL,-12.12
7/1/2025 3:00:00 AM,6/30/2025 11:00:00 PM,7/1/2025 4:00:00 AM,7/1/2025 12:00:00 AM,LENOX-NMESHOPP NML 1090     B  115 KV,L230.ETowanda-Hillside.2002 [NYISO],-318.94
7/1/2025 3:00:00 AM,6/30/2025 11:00:00 PM,7/1/2025 4:00:00 AM,7/1/2025 12:00:00 AM,NEWBERRY115 KV  NEW-ROU,230/115.Lewistown.T3,-24.66
7/1/2025 3:00:00 AM,6/30/2025 11:00:00 PM,7/1/2025 4:00:00 AM,7/1/2025 12:00:00 AM,OTTCRKPL230 KV  OTT-YOR,L500.Conastone-PeachBottom.5012,-5.63
7/1/2025 2:00:00 AM,6/30/2025 10:00:00 PM,7/1/2025 3:00:00 AM,6/30/2025 11:00:00 PM,02FAYET 138 KV  02F-EFY,ACTUAL,-2.85
7/1/2025 2:00:00 AM,6/30/2025 10:00:00 PM,7/1/2025 3:00:00 AM,6/30/2025 11:00:00 PM,12 DRESDEN  45TR81 CT       H  345 KV,L345.Lockport-Kendall.10805,-23.59
7/1/2025 2:00:00 AM,6/30/2025 10:00:00 PM,7/1/2025 3:00:00 AM,6/30/2025 11:00:00 PM,94 HAURD-11323    11323     A  138 KV,L345.Nelson-ElectricJct.15502,-32.43
7/1/2025 2:00:00 AM,6/30/2025 10:00:00 PM,7/1/2025 3:00:00 AM,6/30/2025 11:00:00 PM,BRUNNERI230 KV  BRU-WHE,L500.Conastone-PeachBottom.5012,-67.36
7/1/2025 2:00:00 AM,6/30/2025 10:00:00 PM,7/1/2025 3:00:00 AM,6/30/2025 11:00:00 PM,Burr Oak - Plymouth 138kV 13819 l/o Burr Oak - Hiple 345kV 34529,L345.BurrOak-Hiple,-38.86
7/1/2025 2:00:00 AM,6/30/2025 10:00:00 PM,7/1/2025 3:00:00 AM,6/30/2025 11:00:00 PM,CEDARCRE230 KV  CED-SIL,L230.Cartanza-SilverRun.23032,-4.96
7/1/2025 2:00:00 AM,6/30/2025 10:00:00 PM,7/1/2025 3:00:00 AM,6/30/2025 11:00:00 PM,HANOVER 69 KV   HAN-PAR,ACTUAL,-6.54
7/1/2025 2:00:00 AM,6/30/2025 10:00:00 PM,7/1/2025 3:00:00 AM,6/30/2025 11:00:00 PM,LENOX-NMESHOPP NML 1090     B  115 KV,L230.ETowanda-Hillside.2002 [NYISO],-313.12
7/1/2025 2:00:00 AM,6/30/2025 10:00:00 PM,7/1/2025 3:00:00 AM,6/30/2025 11:00:00 PM,LORETTO 138 KV  LOR-VIE,230/138.PineyGrove.AT20,-4.47
7/1/2025 2:00:00 AM,6/30/2025 10:00:00 PM,7/1/2025 3:00:00 AM,6/30/2025 11:00:00 PM,MONR AE 69 KV   MON-VINE,L230.Cumberland-Orchard.2314,-8.82
7/1/2025 2:00:00 AM,6/30/2025 10:00:00 PM,7/1/2025 3:00:00 AM,6/30/2025 11:00:00 PM,NEWBERRY115 KV  NEW-ROU,230/115.Lewistown.T3,-30.86
7/1/2025 2:00:00 AM,6/30/2025 10:00:00 PM,7/1/2025 3:00:00 AM,6/30/2025 11:00:00 PM,SEDGEHIL230 KV  TX1,230/115.SedgeHill.TX2,-8.15
7/1/2025 1:00:00 AM,6/30/2025 9:00:00 PM,7/1/2025 2:00:00 AM,6/30/2025 10:00:00 PM,02FAYET 138 KV  02F-EFY,ACTUAL,-0.46
7/1/2025 1:00:00 AM,6/30/2025 9:00:00 PM,7/1/2025 2:00:00 AM,6/30/2025 10:00:00 PM,12 DRESDEN  45TR81 CT       H  345 KV,L345.Lockport-Kendall.10805,-0.27
7/1/2025 1:00:00 AM,6/30/2025 9:00:00 PM,7/1/2025 2:00:00 AM,6/30/2025 10:00:00 PM,94 HAURD-11323    11323     A  138 KV,L345.Nelson-ElectricJct.15502,-43.88
7/1/2025 1:00:00 AM,6/30/2025 9:00:00 PM,7/1/2025 2:00:00 AM,6/30/2025 10:00:00 PM,BERGEN  230 KV  BER-HUD,ACTUAL,-14.07
7/1/2025 1:00:00 AM,6/30/2025 9:00:00 PM,7/1/2025 2:00:00 AM,6/30/2025 10:00:00 PM,BRUNNERI230 KV  BRU-YOR,L500.Conastone-PeachBottom.5012,-107.84
7/1/2025 1:00:00 AM,6/30/2025 9:00:00 PM,7/1/2025 2:00:00 AM,6/30/2025 10:00:00 PM,Burr Oak - Plymouth 138kV 13819 l/o Burr Oak - Hiple 345kV 34529,L345.BurrOak-Hiple,-55.25
7/1/2025 1:00:00 AM,6/30/2025 9:00:00 PM,7/1/2025 2:00:00 AM,6/30/2025 10:00:00 PM,COOLSPRI230 KV  COL-MIL,L230.IndianRiver-Milford.23034,-17.75
7/1/2025 1:00:00 AM,6/30/2025 9:00:00 PM,7/1/2025 2:00:00 AM,6/30/2025 10:00:00 PM,HANOVER 69 KV   HAN-PAR,ACTUAL,-36.26
7/1/2025 1:00:00 AM,6/30/2025 9:00:00 PM,7/1/2025 2:00:00 AM,6/30/2025 10:00:00 PM,LENOX-NMESHOPP NML 1090     B  115 KV,L230.ETowanda-Hillside.2002 [NYISO],-420.69
7/1/2025 1:00:00 AM,6/30/2025 9:00:00 PM,7/1/2025 2:00:00 AM,6/30/2025 10:00:00 PM,LORETTO 138 KV  LOR-VIE,230/138.PineyGrove.AT20,-38.57
7/1/2025 1:00:00 AM,6/30/2025 9:00:00 PM,7/1/2025 2:00:00 AM,6/30/2025 10:00:00 PM,MONR AE 69 KV   MON-VINE,L230.Cumberland-Orchard.2314,-17.03
7/1/2025 1:00:00 AM,6/30/2025 9:00:00 PM,7/1/2025 2:00:00 AM,6/30/2025 10:00:00 PM,NEWBERRY115 KV  NEW-ROU,230/115.Lewistown.T3,-27.07
7/1/2025 1:00:00 AM,6/30/2025 9:00:00 PM,7/1/2025 2:00:00 AM,6/30/2025 10:00:00 PM,OTTCRKPL230 KV  OTT-YOR,L500.Conastone-PeachBottom.5012,-36.99
7/1/2025 12:00:00 AM,6/30/2025 8:00:00 PM,7/1/2025 1:00:00 AM,6/30/2025 9:00:00 PM,12 DRESDEN  45TR81 CT       H  345 KV,L345.Lockport-Kendall.10805,-67.59
7/1/2025 12:00:00 AM,6/30/2025 8:00:00 PM,7/1/2025 1:00:00 AM,6/30/2025 9:00:00 PM,94 HAURD-11323    11323     A  138 KV,L345.Nelson-ElectricJct.15502,-58.18
7/1/2025 12:00:00 AM,6/30/2025 8:00:00 PM,7/1/2025 1:00:00 AM,6/30/2025 9:00:00 PM,BRAMBLET-EVRGREEN 2172B     A 230 KV,L230.Buttermilk-Beaumeade.2152,-9.17
7/1/2025 12:00:00 AM,6/30/2025 8:00:00 PM,7/1/2025 1:00:00 AM,6/30/2025 9:00:00 PM,BRUNNERI230 KV  BRU-WHE,L500.Conastone-PeachBottom.5012,-31.16
7/1/2025 12:00:00 AM,6/30/2025 8:00:00 PM,7/1/2025 1:00:00 AM,6/30/2025 9:00:00 PM,BRUNNERI230 KV  BRU-YOR,L500.Conastone-PeachBottom.5012,-144.72
7/1/2025 12:00:00 AM,6/30/2025 8:00:00 PM,7/1/2025 1:00:00 AM,6/30/2025 9:00:00 PM,Burr Oak - Plymouth 138kV 13819 l/o Burr Oak - Hiple 345kV 34529,L345.BurrOak-Hiple,-112.47
7/1/2025 12:00:00 AM,6/30/2025 8:00:00 PM,7/1/2025 1:00:00 AM,6/30/2025 9:00:00 PM,COOLSPRI230 KV  COL-MIL,L230.IndianRiver-Milford.23034,-73.29
7/1/2025 12:00:00 AM,6/30/2025 8:00:00 PM,7/1/2025 1:00:00 AM,6/30/2025 9:00:00 PM,FENTRES4230 KV  2128,L500.Suffolk-Yadkin.565,-2.09
7/1/2025 12:00:00 AM,6/30/2025 8:00:00 PM,7/1/2025 1:00:00 AM,6/30/2025 9:00:00 PM,HANOVER 69 KV   HAN-PAR,ACTUAL,-53.81
7/1/2025 12:00:00 AM,6/30/2025 8:00:00 PM,7/1/2025 1:00:00 AM,6/30/2025 9:00:00 PM,KAMMER2 138 KV  KAM-NAT,ACTUAL,-62.09
7/1/2025 12:00:00 AM,6/30/2025 8:00:00 PM,7/1/2025 1:00:00 AM,6/30/2025 9:00:00 PM,LENOX-NMESHOPP NML 1090     B  115 KV,L230.ETowanda-Hillside.2002 [NYISO],-525.54
7/1/2025 12:00:00 AM,6/30/2025 8:00:00 PM,7/1/2025 1:00:00 AM,6/30/2025 9:00:00 PM,LORETTO 138 KV  LOR-VIE,230/138.PineyGrove.AT20,-98.84
7/1/2025 12:00:00 AM,6/30/2025 8:00:00 PM,7/1/2025 1:00:00 AM,6/30/2025 9:00:00 PM,MIDDLJCT115 KV  MID-YOR8,L115.MiddletownJct-Collins (Sctnlz),-5.13
7/1/2025 12:00:00 AM,6/30/2025 8:00:00 PM,7/1/2025 1:00:00 AM,6/30/2025 9:00:00 PM,MONR AE 69 KV   MON-VINE,L230.Cumberland-Orchard.2314,-26.45
7/1/2025 12:00:00 AM,6/30/2025 8:00:00 PM,7/1/2025 1:00:00 AM,6/30/2025 9:00:00 PM,NEWBERRY115 KV  NEW-ROU,230/115.Lewistown.T3,-53.04
7/1/2025 12:00:00 AM,6/30/2025 8:00:00 PM,7/1/2025 1:00:00 AM,6/30/2025 9:00:00 PM,New London-Kokomo 230kV l/o Cayuga-Nucor 345kV,Nucor-Cayuga 345 kV,-21.75
7/1/2025 12:00:00 AM,6/30/2025 8:00:00 PM,7/1/2025 1:00:00 AM,6/30/2025 9:00:00 PM,VINELAND69 KV   0712,L69.Monroe-Vineland.0711,-1.35
6/30/2025 11:00:00 PM,6/30/2025 7:00:00 PM,7/1/2025 12:00:00 AM,6/30/2025 8:00:00 PM,12 DRESDEN  45TR81 CT       H  345 KV,L345.Lockport-Kendall.10805,-104.99
6/30/2025 11:00:00 PM,6/30/2025 7:00:00 PM,7/1/2025 12:00:00 AM,6/30/2025 8:00:00 PM,94 HAURD-11323    11323     A  138 KV,L345.Nelson-ElectricJct.15502,-61.58
6/30/2025 11:00:00 PM,6/30/2025 7:00:00 PM,7/1/2025 12:00:00 AM,6/30/2025 8:00:00 PM,BRAMBLET-EVRGREEN 2172B     A 230 KV,L230.Buttermilk-Beaumeade.2152,-81.68
6/30/2025 11:00:00 PM,6/30/2025 7:00:00 PM,7/1/2025 12:00:00 AM,6/30/2025 8:00:00 PM,BRUNNERI230 KV  BRU-YOR,L500.Conastone-PeachBottom.5012,-101.70
6/30/2025 11:00:00 PM,6/30/2025 7:00:00 PM,7/1/2025 12:00:00 AM,6/30/2025 8:00:00 PM,Burr Oak - Plymouth 138kV 13819 l/o Burr Oak - Hiple 345kV 34529,L345.BurrOak-Hiple,-240.81
6/30/2025 11:00:00 PM,6/30/2025 7:00:00 PM,7/1/2025 12:00:00 AM,6/30/2025 8:00:00 PM,CONASTON230 KV  CNS-NOR2,L230.Conastone-Northwest.2310,-58.13
6/30/2025 11:00:00 PM,6/30/2025 7:00:00 PM,7/1/2025 12:00:00 AM,6/30/2025 8:00:00 PM,COOLSPRI230 KV  COL-MIL,L230.IndianRiver-Milford.23034,-282.10
6/30/2025 11:00:00 PM,6/30/2025 7:00:00 PM,7/1/2025 12:00:00 AM,6/30/2025 8:00:00 PM,HANOVER 69 KV   HAN-PAR,ACTUAL,-31.26
6/30/2025 11:00:00 PM,6/30/2025 7:00:00 PM,7/1/2025 12:00:00 AM,6/30/2025 8:00:00 PM,KAMMER2 138 KV  KAM-NAT,ACTUAL,-79.47
6/30/2025 11:00:00 PM,6/30/2025 7:00:00 PM,7/1/2025 12:00:00 AM,6/30/2025 8:00:00 PM,LENOX-NMESHOPP NML 1090     B  115 KV,L230.ETowanda-Hillside.2002 [NYISO],-261.92
6/30/2025 11:00:00 PM,6/30/2025 7:00:00 PM,7/1/2025 12:00:00 AM,6/30/2025 8:00:00 PM,MIDDLJCT115 KV  MID-YOR8,L115.MiddletownJct-Collins (Sctnlz),-107.05
6/30/2025 11:00:00 PM,6/30/2025 7:00:00 PM,7/1/2025 12:00:00 AM,6/30/2025 8:00:00 PM,MONR AE 69 KV   MON-VINE,L230.Cumberland-Orchard.2314,-42.08
6/30/2025 11:00:00 PM,6/30/2025 7:00:00 PM,7/1/2025 12:00:00 AM,6/30/2025 8:00:00 PM,NEWBERRY115 KV  NEW-ROU,230/115.Lewistown.T3,-61.22
6/30/2025 11:00:00 PM,6/30/2025 7:00:00 PM,7/1/2025 12:00:00 AM,6/30/2025 8:00:00 PM,PLEASNTV TX3       XFORMER   H  500 KV,L230.GooseCreek-Ashburn-Beaumeade.227,-43.68
6/30/2025 11:00:00 PM,6/30/2025 7:00:00 PM,7/1/2025 12:00:00 AM,6/30/2025 8:00:00 PM,VINELAND69 KV   0712,L69.Monroe-Vineland.0711,-18.78
6/30/2025 10:00:00 PM,6/30/2025 6:00:00 PM,6/30/2025 11:00:00 PM,6/30/2025 7:00:00 PM,12 DRESDEN  45TR81 CT       H  345 KV,L345.Lockport-Kendall.10805,-145.82
6/30/2025 10:00:00 PM,6/30/2025 6:00:00 PM,6/30/2025 11:00:00 PM,6/30/2025 7:00:00 PM,94 HAURD-11323    11323     A  138 KV,L345.Nelson-ElectricJct.15502,-62.45
6/30/2025 10:00:00 PM,6/30/2025 6:00:00 PM,6/30/2025 11:00:00 PM,6/30/2025 7:00:00 PM,ASHBURN-GOOSECRE 227D       B  230 KV,L230.Beaumead-Ashburn-PleasantView.274,-14.72
6/30/2025 10:00:00 PM,6/30/2025 6:00:00 PM,6/30/2025 11:00:00 PM,6/30/2025 7:00:00 PM,BERGEN  230 KV  BER-HUD,ACTUAL,-11.78
6/30/2025 10:00:00 PM,6/30/2025 6:00:00 PM,6/30/2025 11:00:00 PM,6/30/2025 7:00:00 PM,BRAMBLET-EVRGREEN 2172B     A 230 KV,L230.Buttermilk-Beaumeade.2152,-20.04
6/30/2025 10:00:00 PM,6/30/2025 6:00:00 PM,6/30/2025 11:00:00 PM,6/30/2025 7:00:00 PM,Burr Oak - Plymouth 138kV 13819 l/o Burr Oak - Hiple 345kV 34529,L345.BurrOak-Hiple,-401.01
6/30/2025 10:00:00 PM,6/30/2025 6:00:00 PM,6/30/2025 11:00:00 PM,6/30/2025 7:00:00 PM,CHESTNUT115 KV  CHE-FRE7,ACTUAL,-20.73
6/30/2025 10:00:00 PM,6/30/2025 6:00:00 PM,6/30/2025 11:00:00 PM,6/30/2025 7:00:00 PM,COOLSPRI230 KV  COL-MIL,L230.IndianRiver-Milford.23034,-245.23
6/30/2025 10:00:00 PM,6/30/2025 6:00:00 PM,6/30/2025 11:00:00 PM,6/30/2025 7:00:00 PM,ELDRED  230 KV  ELD-SUN,ACTUAL,-52.87
6/30/2025 10:00:00 PM,6/30/2025 6:00:00 PM,6/30/2025 11:00:00 PM,6/30/2025 7:00:00 PM,HANOVER 69 KV   HAN-PAR,ACTUAL,-112.60
6/30/2025 10:00:00 PM,6/30/2025 6:00:00 PM,6/30/2025 11:00:00 PM,6/30/2025 7:00:00 PM,KAMMER2 138 KV  KAM-NAT,ACTUAL,-103.38
6/30/2025 10:00:00 PM,6/30/2025 6:00:00 PM,6/30/2025 11:00:00 PM,6/30/2025 7:00:00 PM,LENOX-NMESHOPP NML 1090     B  115 KV,L230.ETowanda-Hillside.2002 [NYISO],-262.47
6/30/2025 10:00:00 PM,6/30/2025 6:00:00 PM,6/30/2025 11:00:00 PM,6/30/2025 7:00:00 PM,LORETTO 138 KV  LOR-VIE,230/138.PineyGrove.AT20,-128.00
6/30/2025 10:00:00 PM,6/30/2025 6:00:00 PM,6/30/2025 11:00:00 PM,6/30/2025 7:00:00 PM,MIDDLJCT115 KV  MID-YOR8,L115.MiddletownJct-Collins (Sctnlz),-124.38
6/30/2025 10:00:00 PM,6/30/2025 6:00:00 PM,6/30/2025 11:00:00 PM,6/30/2025 7:00:00 PM,MONR AE 69 KV   MON-VINE,L230.Cumberland-Orchard.2314,-72.01
6/30/2025 10:00:00 PM,6/30/2025 6:00:00 PM,6/30/2025 11:00:00 PM,6/30/2025 7:00:00 PM,NEWBERRY115 KV  NEW-ROU,230/115.Lewistown.T3,-63.46
6/30/2025 10:00:00 PM,6/30/2025 6:00:00 PM,6/30/2025 11:00:00 PM,6/30/2025 7:00:00 PM,PLEASNTV TX3       XFORMER   H  500 KV,L230.GooseCreek-Ashburn-Beaumeade.227,-557.10
6/30/2025 9:00:00 PM,6/30/2025 5:00:00 PM,6/30/2025 10:00:00 PM,6/30/2025 6:00:00 PM,12 DRESDEN  45TR81 CT       H  345 KV,L345.Lockport-Kendall.10805,-153.59
6/30/2025 9:00:00 PM,6/30/2025 5:00:00 PM,6/30/2025 10:00:00 PM,6/30/2025 6:00:00 PM,94 HAURD-11323    11323     A  138 KV,L345.Nelson-ElectricJct.15502,-73.68
6/30/2025 9:00:00 PM,6/30/2025 5:00:00 PM,6/30/2025 10:00:00 PM,6/30/2025 6:00:00 PM,Burr Oak - Plymouth 138kV 13819 l/o Burr Oak - Hiple 345kV 34529,L345.BurrOak-Hiple,-409.72
6/30/2025 9:00:00 PM,6/30/2025 5:00:00 PM,6/30/2025 10:00:00 PM,6/30/2025 6:00:00 PM,CLY     115 KV  CLY-YOR,L115.MiddletownJct-Collins (Sctnlz),-42.69
6/30/2025 9:00:00 PM,6/30/2025 5:00:00 PM,6/30/2025 10:00:00 PM,6/30/2025 6:00:00 PM,COOLSPRI230 KV  COL-MIL,L230.IndianRiver-Milford.23034,-277.38
6/30/2025 9:00:00 PM,6/30/2025 5:00:00 PM,6/30/2025 10:00:00 PM,6/30/2025 6:00:00 PM,Cherry Valley-Silver Lake 15616 345kV l/o Byron-Wayne 0626 345 kV,L345.Byron-Wayne.0626,-9.40
6/30/2025 9:00:00 PM,6/30/2025 5:00:00 PM,6/30/2025 10:00:00 PM,6/30/2025 6:00:00 PM,ELDRED  230 KV  ELD-SUN,ACTUAL,-32.62
6/30/2025 9:00:00 PM,6/30/2025 5:00:00 PM,6/30/2025 10:00:00 PM,6/30/2025 6:00:00 PM,HANOVER 69 KV   HAN-PAR,ACTUAL,-8.69
6/30/2025 9:00:00 PM,6/30/2025 5:00:00 PM,6/30/2025 10:00:00 PM,6/30/2025 6:00:00 PM,KAMMER2 138 KV  KAM-NAT,ACTUAL,-92.23
6/30/2025 9:00:00 PM,6/30/2025 5:00:00 PM,6/30/2025 10:00:00 PM,6/30/2025 6:00:00 PM,LENOX-NMESHOPP NML 1090     B  115 KV,L230.ETowanda-Hillside.2002 [NYISO],-573.88
6/30/2025 9:00:00 PM,6/30/2025 5:00:00 PM,6/30/2025 10:00:00 PM,6/30/2025 6:00:00 PM,MIDDLJCT115 KV  MID-YOR8,L115.MiddletownJct-Collins (Sctnlz),-256.53
6/30/2025 9:00:00 PM,6/30/2025 5:00:00 PM,6/30/2025 10:00:00 PM,6/30/2025 6:00:00 PM,MONR AE 69 KV   MON-VINE,L230.Cumberland-Orchard.2314,-62.66
6/30/2025 9:00:00 PM,6/30/2025 5:00:00 PM,6/30/2025 10:00:00 PM,6/30/2025 6:00:00 PM,PLEASNTV TX3       XFORMER   H  500 KV,L230.GooseCreek-Ashburn-Beaumeade.227,-1288.72
6/30/2025 9:00:00 PM,6/30/2025 5:00:00 PM,6/30/2025 10:00:00 PM,6/30/2025 6:00:00 PM,VINELAND69 KV   0712,L69.Monroe-Vineland.0711,-14.88
6/30/2025 8:00:00 PM,6/30/2025 4:00:00 PM,6/30/2025 9:00:00 PM,6/30/2025 5:00:00 PM,12 DRESDEN  45TR81 CT       H  345 KV,L345.Lockport-Kendall.10805,-167.43
6/30/2025 8:00:00 PM,6/30/2025 4:00:00 PM,6/30/2025 9:00:00 PM,6/30/2025 5:00:00 PM,94 HAURD-11323    11323     A  138 KV,L345.Nelson-ElectricJct.15502,-39.88
6/30/2025 8:00:00 PM,6/30/2025 4:00:00 PM,6/30/2025 9:00:00 PM,6/30/2025 5:00:00 PM,BAIR    115 KV  BAI-JAC,L115.Yorkana-Yoe-Windsor.989,-0.78
6/30/2025 8:00:00 PM,6/30/2025 4:00:00 PM,6/30/2025 9:00:00 PM,6/30/2025 5:00:00 PM,BRAMBLET-EVRGREEN 2172B     A 230 KV,L230.Buttermilk-Beaumeade.2152,-37.88
6/30/2025 8:00:00 PM,6/30/2025 4:00:00 PM,6/30/2025 9:00:00 PM,6/30/2025 5:00:00 PM,Burr Oak - Plymouth 138kV 13819 l/o Burr Oak - Hiple 345kV 34529,L345.BurrOak-Hiple,-403.54
6/30/2025 8:00:00 PM,6/30/2025 4:00:00 PM,6/30/2025 9:00:00 PM,6/30/2025 5:00:00 PM,CLY     115 KV  CLY-YOR,L115.MiddletownJct-Collins (Sctnlz),-32.06
6/30/2025 8:00:00 PM,6/30/2025 4:00:00 PM,6/30/2025 9:00:00 PM,6/30/2025 5:00:00 PM,COOLSPRI230 KV  COL-MIL,L230.IndianRiver-Milford.23034,-211.71
6/30/2025 8:00:00 PM,6/30/2025 4:00:00 PM,6/30/2025 9:00:00 PM,6/30/2025 5:00:00 PM,ELDRED  230 KV  ELD-SUN,ACTUAL,-29.03
6/30/2025 8:00:00 PM,6/30/2025 4:00:00 PM,6/30/2025 9:00:00 PM,6/30/2025 5:00:00 PM,HANOVER 69 KV   HAN-PAR,ACTUAL,-9.13
6/30/2025 8:00:00 PM,6/30/2025 4:00:00 PM,6/30/2025 9:00:00 PM,6/30/2025 5:00:00 PM,KAMMER2 138 KV  KAM-NAT,ACTUAL,-27.54
6/30/2025 8:00:00 PM,6/30/2025 4:00:00 PM,6/30/2025 9:00:00 PM,6/30/2025 5:00:00 PM,LENOX-NMESHOPP NML 1090     B  115 KV,L230.ETowanda-Hillside.2002 [NYISO],-446.39
6/30/2025 8:00:00 PM,6/30/2025 4:00:00 PM,6/30/2025 9:00:00 PM,6/30/2025 5:00:00 PM,MIDDLJCT115 KV  MID-YOR8,L115.MiddletownJct-Collins (Sctnlz),-286.19
6/30/2025 8:00:00 PM,6/30/2025 4:00:00 PM,6/30/2025 9:00:00 PM,6/30/2025 5:00:00 PM,MONR AE 69 KV   MON-VINE,L230.Cumberland-Orchard.2314,-40.76
6/30/2025 8:00:00 PM,6/30/2025 4:00:00 PM,6/30/2025 9:00:00 PM,6/30/2025 5:00:00 PM,PLEASNTV TX3       XFORMER   H  500 KV,L230.GooseCreek-Ashburn-Beaumeade.227,-1280.02
6/30/2025 8:00:00 PM,6/30/2025 4:00:00 PM,6/30/2025 9:00:00 PM,6/30/2025 5:00:00 PM,VINELAND69 KV   0712,L69.Monroe-Vineland.0711,-20.39
6/30/2025 7:00:00 PM,6/30/2025 3:00:00 PM,6/30/2025 8:00:00 PM,6/30/2025 4:00:00 PM,12 DRESDEN  45TR81 CT       H  345 KV,L345.Lockport-Kendall.10805,-146.03
6/30/2025 7:00:00 PM,6/30/2025 3:00:00 PM,6/30/2025 8:00:00 PM,6/30/2025 4:00:00 PM,94 HAURD-11323    11323     A  138 KV,L345.Nelson-ElectricJct.15502,-33.21
6/30/2025 7:00:00 PM,6/30/2025 3:00:00 PM,6/30/2025 8:00:00 PM,6/30/2025 4:00:00 PM,BRAMBLET-EVRGREEN 2172B     A 230 KV,L230.Buttermilk-Beaumeade.2152,-280.30
6/30/2025 7:00:00 PM,6/30/2025 3:00:00 PM,6/30/2025 8:00:00 PM,6/30/2025 4:00:00 PM,Burr Oak - Plymouth 138kV 13819 l/o Burr Oak - Hiple 345kV 34529,L345.BurrOak-Hiple,-220.11
6/30/2025 7:00:00 PM,6/30/2025 3:00:00 PM,6/30/2025 8:00:00 PM,6/30/2025 4:00:00 PM,CHESTNUT115 KV  CHE-FRE7,ACTUAL,-101.70
6/30/2025 7:00:00 PM,6/30/2025 3:00:00 PM,6/30/2025 8:00:00 PM,6/30/2025 4:00:00 PM,CLY     115 KV  CLY-YOR,L115.MiddletownJct-Collins (Sctnlz),-54.23
6/30/2025 7:00:00 PM,6/30/2025 3:00:00 PM,6/30/2025 8:00:00 PM,6/30/2025 4:00:00 PM,COOLSPRI230 KV  COL-MIL,L230.IndianRiver-Milford.23034,-82.02
6/30/2025 7:00:00 PM,6/30/2025 3:00:00 PM,6/30/2025 8:00:00 PM,6/30/2025 4:00:00 PM,CRANBERY138 KV  CRA-TRA,ACTUAL,-0.35
6/30/2025 7:00:00 PM,6/30/2025 3:00:00 PM,6/30/2025 8:00:00 PM,6/30/2025 4:00:00 PM,ELDRED  230 KV  ELD-SUN,ACTUAL,-42.51
6/30/2025 7:00:00 PM,6/30/2025 3:00:00 PM,6/30/2025 8:00:00 PM,6/30/2025 4:00:00 PM,KAMMER2 138 KV  KAM-NAT,ACTUAL,-26.70
6/30/2025 7:00:00 PM,6/30/2025 3:00:00 PM,6/30/2025 8:00:00 PM,6/30/2025 4:00:00 PM,LENOX-NMESHOPP NML 1090     B  115 KV,L230.ETowanda-Hillside.2002 [NYISO],-387.68
6/30/2025 7:00:00 PM,6/30/2025 3:00:00 PM,6/30/2025 8:00:00 PM,6/30/2025 4:00:00 PM,MIDDLJCT115 KV  MID-YOR8,L115.MiddletownJct-Collins (Sctnlz),-254.49
6/30/2025 7:00:00 PM,6/30/2025 3:00:00 PM,6/30/2025 8:00:00 PM,6/30/2025 4:00:00 PM,North Port - Albionim l/o Robison Park 345/138 T5 XF,345/138.RobisonPark.T5,-161.69
6/30/2025 7:00:00 PM,6/30/2025 3:00:00 PM,6/30/2025 8:00:00 PM,6/30/2025 4:00:00 PM,PLEASNTV TX3       XFORMER   H  500 KV,L230.GooseCreek-Ashburn-Beaumeade.227,-976.08
6/30/2025 7:00:00 PM,6/30/2025 3:00:00 PM,6/30/2025 8:00:00 PM,6/30/2025 4:00:00 PM,VINELAND69 KV   0712,L69.Monroe-Vineland.0711,-47.15
6/30/2025 6:00:00 PM,6/30/2025 2:00:00 PM,6/30/2025 7:00:00 PM,6/30/2025 3:00:00 PM,12 DRESDEN  45TR81 CT       H  345 KV,L345.Lockport-Kendall.10805,-132.06
6/30/2025 6:00:00 PM,6/30/2025 2:00:00 PM,6/30/2025 7:00:00 PM,6/30/2025 3:00:00 PM,94 HAURD-11323    11323     A  138 KV,L345.Nelson-ElectricJct.15502,-19.51
6/30/2025 6:00:00 PM,6/30/2025 2:00:00 PM,6/30/2025 7:00:00 PM,6/30/2025 3:00:00 PM,BRAMBLET-EVRGREEN 2172B     A 230 KV,L230.Buttermilk-Beaumeade.2152,-722.67
6/30/2025 6:00:00 PM,6/30/2025 2:00:00 PM,6/30/2025 7:00:00 PM,6/30/2025 3:00:00 PM,BRUNNERI230 KV  BRU-YOR,L500.Conastone-PeachBottom.5012,-37.75
